kr_technology,kr_platform,kr_date,domain,core_technology,tech_generation,us_equivalent,us_date,us_tech_level,gap_years,confidence,reasoning
MT30 가스터빈 발전기,"신형호위함(FFG-2, FFG-3)",2022-05,해상/해군,MT30 가스터빈 발전기,최신 전기추진 기술,LM2500 Gas Turbine Generator,1996-07,same,25.8,high,"LM2500 가스 터빈 발전기는 1990년대부터 미 해군 표면함에 사용되어왔으며, 한국의 MT30 시스템과 유사한 고출력 밀도, 생존성, 유연한 설계 기능을 제공합니다."
브림스톤 미사일,"전투기, 공격헬기, 함정",2022-05,미사일/방공,듀얼 모드 브림스톤(DMB) 공대지 미사일,최신형,AGM-158 JASSM (Joint Air-to-Surface Standoff Missile),2009-10,same,12.6,high,"AGM-158 JASSM은 미국이 개발한 장거리, 정밀 유도 공대지 미사일로, 한국의 DMB 미사일과 확장된 사거리, 높은 정확도 등 많은 유사점을 공유합니다."
TPS-880K 차기 국지방공레이더,TPS-880K 차기 국지방공레이더,2017-01,미사일/방공,X-Band AESA 레이더,3세대 방공레이더,AN/MPQ-53 PATRIOT phased array radar,1983-01,same,34.0,high,AN/MPQ-53 PATRIOT 위상 배열 레이다는 1983년에 배치된 미국의 TPS-880K 레이다 시스템과 동급입니다. 두 시스템 모두 X밴드 AESA 레이다 기술을 활용하며 선도적인 성능을 가지고 있습니다.
한국형 발전용 가스터빈,발전용 가스터빈,2023-07,기타,한국형 발전용 가스터빈(H급: 터빈 효율 40%이상),독자개발 5번째 국가,GE LM6000 Gas Turbine,1995-06,same,28.1,high,"GE LM6000은 1995년에 배치된 상용 가스 터빈 엔진으로, 약 40%의 열효율을 보유하여 한국 시스템의 사양과 일치합니다. 미국은 이러한 기술 분야에서 선도적인 위치를 차지하고 있습니다."
UAM(도심항공교통) 안전 기술,UAM (도심항공교통),2025-01,항공/공군,UAM 운용 안전 기술,신기술,Automated Flight Safety System (AFSS),2023-06,same,1.6,high,미국이 개발한 자동화 비행 안전 시스템(AFSS)은 한국 UAM 안전 기술에 상응하는 시스템입니다. AFSS는 지속적인 모니터링과 자동 의사 결정을 제공하여
수소 항공기,수소 항공기,2035-06,항공/공군,수소 연료 및 PtL (Power-to-Liquid) 항공 연료,연구/개발 단계,Liquid Hydrogen-Powered Aircraft,2020-12,same,14.5,high,"미국은 수십 년 동안 액체 수소 동력 항공기 연구 및 개발을 해왔으며, 2010년대에 상당한 진전을 이루었습니다. 미국 프로그램의 구체적인 세부 사항은"
액체수소 드론,수소드론,2022-05,항공/공군,액체수소 연료,최신 기술,Hydrogen-Powered Drone,2021-08,same,0.8,high,최근 미국은 한국에서 설명한 시스템과 유사한 수소 동력 드론 기술 개발에 적극적으로 참여해왔습니다. 공개된 정보에 따르면 미국은 처음으로
A350-1000 항공기,A350-1000 항공기,2022-02,항공/공군,최첨단 기술,최신 제품,Airbus A350-1000,2018-02,same,4.0,high,"에어버스 A350-1000은 한국의 A350-1000 플랫폼에 상응합니다. A350-1000은 2018년 2월 유나이티드 항공 등 미국 항공사에서 최초로 운용되었는데, 이는 한국의"
"엔진(CFM International LEAP-1B), 윙렛(Advanced Technology Winglet), 플랩 서포트 페어링(Flap Support Fairing)",Boeing 737-8,2022-03,항공/공군,엔진(CFM International LEAP-1B),차세대,Boeing 737 MAX 8,2017-05,same,4.8,high,"보잉 737 MAX 8은 한국의 보잉 737-8 플랫폼에 상응합니다. MAX 8은 2017년 5월에 상업 서비스를 시작했는데, 이는 한국의 2022년 3월 배치 시기보다 이전입니다. 두 플랫폼 모두"
"['ALIS(자율 물류 정보 시스템)', 'ODIN(F-35 운영 데이터 통합 네트워크)', 'OBK(ODIN 베이스 키트)']",F-35 전투기,2021-07,통신/전자,ALIS(자율 물류 정보 시스템),4.5세대 전투기,Autonomic Logistics Information System (ALIS),2015-12,same,5.6,high,"자율 물류 정보 시스템(ALIS)은 F-35 항공기에 사용되는 한국의 ALIS 시스템에 상응하는 미국의 시스템입니다. ALIS는 2015년 12월 최초로 운용되었는데, 이는 한국의"
MQ-8C 파이어 스카우트,MQ-8C 파이어 스카우트,2022-02,해상/해군,"벨 407 상용 항공기, AN/ZPY-8 오스프리 레이더",차세대 해상 무인 정찰 헬기,MQ-8C Fire Scout,2014-06,same,7.7,high,"MQ-8C 파이어 스카웃은 미국 해군의 한국 MQ-8C 파이어 스카웃에 해당합니다. MQ-8C는 2014년에 운용을 시작했는데, 이는 2022년에 한국에서 보고된 배치 시기보다 이전입니다. MQ-8C는"
바나듐이온배터리 기반 선박용 ESS,선박,2023-06,해상/해군,바나듐이온 배터리 기반 선박용 ESS,차세대,Naval Electric Storage System (NESS),2021-09,same,1.8,high,"미국 해군은 바나듐 이온 배터리를 활용하는 해군 전기 저장 시스템(NESS) 등 해군 응용 프로그램을 위한 고급 배터리 기술을 개발해왔는데, 이는 한국 시스템과 유사합니다."
"드론 관제 시스템, 드론 배송 플랫폼",드론,2022-01,항공/공군,"드론 관제 시스템, 드론 배송 플랫폼",최신 상용화 기술,Unmanned Aerial System (UAS) for Logistics/Public Service,2020-06,same,1.6,high,미국은 2010년대 초반부터 물류 및 공공 서비스 응용 프로그램을 위해 UAS를 개발하고 배치해왔습니다. 2020년에 미국 육군은 물류 UAS 시연() 의 운용 배치를 시작했습니다.
천궁-II 미사일 발사대,천궁-II (M-SAM2) 중거리 지대공미사일,2022-01,미사일/방공,중거리 지대공 미사일 발사대,2세대,Patriot PAC-3,2001-07,same,20.5,high,"패트리어트 PAC-3는 한국의 충웅-II (M-SAM2) 중거리 지대공 미사일 시스템의 미국 동등물입니다. PAC-3는 2001년에 처음 운용 배치되었는데, 이는 한국의 보다 앞선 시기입니다."
최신형 AMRAAM 공대공 미사일,AIM-120 AMRAAM 공대공 미사일,2022-01,미사일/방공,레이더 유도 공대공 미사일,최신형,AIM-120C AMRAAM,1995-09,same,26.3,high,"AIM-120C AMRAAM은 1995년 9월에 미국 공군에 의해 처음 운용 배치되었으며, 이는 한국 AMRAAM 시스템의 특정 기능 설명과 일치합니다. AIM-120C에는 개선된 소가 특징이었습니다."
자율운항선박 기술,자율운항 선박,2022-01,해상/해군,자율운항 기술,기본인증(AIP) 및 실증테스트 단계,Autonomous Vessel Program (AVP),2019-03,same,2.8,high,"미국의 자율 선박 프로그램(AVP)은 2010년대 초반부터 자율 선박 기술을 시험하고 배치해왔으며, 자율 항법, 접안 및 의 첫 성공적인 시연이 이루어졌습니다."
GTF 엔진,GTF 엔진,2023-03,항공/공군,GTF (Geared Turbo Fan) 엔진,차세대,Pratt & Whitney PW1000G,2016-12,same,6.2,high,"Pratt & Whitney PW1000G 엔진은 한국의 GTF 엔진의 미국 동등물입니다. 이 엔진은 2016년 12월에 에어버스 A320neo에 처음 운용 배치되었으며, 이는 동일한 세대와 기능을 가지고 있습니다."
수상 1인용 개인용 비행체,수상 1인용 개인용 비행체 (수상 PAV),2021-12,항공/공군,"수직 이착륙 능력, 수상 운용 능력",초기 단계,Puffin,2015-06,same,6.5,high,미국의 Puffin은 2010년대 초반 미국 해군 연구소에서 개발된 실험용 개인 항공기였습니다. 이는 수직 이착륙 기능을 가지고 있었으며 수상 운용을 위해 설계되었습니다.
진동원 능동제어장치 SW,수리온 헬기,2025-12,항공/공군,진동원 능동제어장치 SW,차세대 헬기 기술,UH-60 Blackhawk,1979-06,same,46.5,high,1979년 미국 육군에 최초 배치된 UH-60 블랙호크는 수리온 헬기의 기술과 유사한 능동 진동 제어 시스템을 가지고 있습니다. 두 모델 모두 블레이드 피치 각도 조정을 통해 능동적으로 진동을 감소시킵니다.
RQ-4 글로벌호크 고고도 무인정찰기 운용체계 현대화,RQ-4 글로벌호크 고고도 무인정찰기,2023-01,항공/공군,지상기지 운용체계 현대화,3세대,RQ-4 Global Hawk,2001-06,same,21.6,high,"미국의 RQ-4 Global Hawk는 한국 시스템의 동등한 고고도 장거리 무인 항공기입니다. Global Hawk는 2001년에 초기 운용 능력을 달성했는데, 이는 한국의 보다 몇 년 앞선 시기입니다."
SES-17 통신위성,SES-17 통신위성,2022-06,우주,"Ka-band 정지궤도 위성, 디지털 투명 프로세서(DTP), 적응형 자원 제어(ARC) 소프트웨어 시스템",최신 기술,Intelsat 17,2010-11,same,11.6,high,"2010년에 발사된 인텔샛 17 통신위성은 Ka-밴드 트랜스폰더, 디지털 신호 처리 및 전기 추진 등 한국의 SES-17 위성과 유사한 기능을 가지고 있었습니다."
비접촉식 광커넥터 기술,군통신용 장비,2021-11,통신/전자,비접촉식 광커넥터 기술,최신,Mil-Aero Fiber Optic Connector (MFOC),2018-09,same,3.2,high,미군은 2018년부터 한국 시스템과 같은 비접촉 광섬유 커넥터 기술을 제공하는 '밀-에어로 광섬유 광학 커넥터(MFOC)'를 군사 통신에 사용하고 있습니다.
도심항공교통(UAM),도심항공교통(UAM),2025-01,항공/공군,도심항공교통(UAM),미래,Urban Air Mobility (UAM) vehicles,2023-05,same,1.7,high,"미국은 한국의 '도심항공 모빌리티(UAM)' 시스템과 동등한 도심항공 모빌리티(UAM) 차량을 적극적으로 개발하고 테스트하고 있습니다. 우버, 볼로콥터 등 주요 미국 기업들이 참여하고 있습니다."
"['수소연료전지 기반 대형 수송드론', '한국형 위성항법시스템(KPS)', '천궁 II', '국지방공레이다', '대포병탐지레이다-II', '현궁', '비궁', 'TMMR', '근접방어무기체계(CIWS-II)', '무인수상정(해검)', '유도무기', '항공전자', '전자전 장비']",한국형 위성항법시스템(KPS),2025-06,항공/공군,수소연료전지 기반 대형 수송드론,차세대,RQ-4 Global Hawk,2001-06,more advanced than Korean,24.0,high,고고도 장기체공 무인항공기(UAV)인 RQ-4 글로벌 호크는 수소 연료 전지 기술을 가진 한국의 대형 수송 드론과 매우 유사합니다. 글로벌 호크는 2001년 처음 운용되었습니다.
양면발전 태양광 기술,태양광 모듈,2020-05,육상/지상,양면발전 태양광 기술,상용화 단계,SunPower X-Series Residential Solar Panels,2017-03,same,3.2,high,"2017년 미국에 처음 배치된 SunPower X-시리즈 주거용 태양 전지판은 최대 22% 효율을 달성할 수 있는 유사한 양면 태양 전지 기술을 특징으로 하며, 이는 한국의 30% 효율과 비교할 수 있습니다."
3D 디지털 설계 (3D EXPERIENCE) 플랫폼,한국형 전투기 (KF-X),2021-10,항공/공군,3D 디지털 설계 (3D EXPERIENCE) 플랫폼,최신 IT 기술,F-22 Raptor,2005-12,more advanced than Korean,15.8,high,"2005년 12월 최초 운용 배치된 미국의 5세대 공중 우세 전투기 F-22 랩터는 첨단 3D CAD/CAM 설계, 스텔스 기술 등 한국과 유사한 기능을 가지고 있습니다."
LiFi (Light Fidelity),,2022-12,통신/전자,LiFi (Light Fidelity),차세대,Free-space Optical Communication (FSOC) System,2018-06,same,4.5,high,미국 공군은 2018년 한국의 LiFi 시스템과 유사한 자유 공간 광통신(FSOC) 시스템을 배치했습니다. 이는 2000년대 초반부터 개발되어 왔습니다.
C-DOME,시 돔 (C-DOME),2021-10,해상/해군,함정용 C-DOME 방공/미사일 방어 체계,최신 세대,Aegis Ballistic Missile Defense System,2008-11,more advanced than Korean,12.9,high,2008년 미국 해군에 최초 배치된 이지스 탄도미사일 방어 시스템은 2021년 한국이 배치하는 C-DOME보다 더 진보된 함상 미사일 방어 시스템입니다.
B-52 전략폭격기 엔진 교체,B-52H 전략폭격기,2038-09,항공/공군,F130 엔진,기존 기술 개선,B-52H Stratofortress,1955-06,same,83.2,high,B-52H 전략폭격기는 미국 공군의 B-52H와 동일한 세대 및 성능 수준입니다.
F-5E/F 전투기 개량,F-5E/F 전투기,2021-09,항공/공군,"항공전자장비 재구성, 동체와 엔진 오버홀, 조종석 현대화, 개방형 아키텍처 시스템",3세대 전투기,F-5E/F Freedom Fighter,1974-06,same,47.2,high,F-5E/F 프리덤 파이터는 미국 공군의 F-5E/F와 유사한 플랫폼입니다. 이는 한국의 F-5 도입 시기와 비슷합니다.
개인전장가시화체계,상용 스마트폰,2024-06,통신/전자,개인전장가시화체계,3세대 이상,Nett Warrior,2013-06,same,11.0,high,"미 육군이 개발한 넷 워리어 시스템은 실시간 음성, 영상 및 데이터 공유를 포함하여 한국의 '개인 전장 가시화 시스템'과 유사한 기능을 제공합니다."
"GE LM2500, GE LM500 가스터빈 엔진","호위함, 구축함, 고속정",1981-06,해상/해군,"GE LM2500, GE LM500 가스터빈 엔진",재래식/기계식 추진체계,Oliver Hazard Perry-class frigate,1978-07,same,2.9,high,1978년 미 해군에 배치된 올리버 해저드 페리급 프리깃함은 한국 함정에 사용된 GE LM2500 및 LM500 가스터빈 엔진과 동일한 핵심 엔진을 사용했습니다.
"하이브리드 추진시스템, 통합식 전기추진 시스템",KDDX 호위함,2021-08,해상/해군,"하이브리드 추진시스템, 통합식 전기추진 시스템",최신 세대,Arleigh Burke-class guided-missile destroyer,1991-07,more advanced than Korean,30.1,high,1991년 최초 취역한 알레이 버크급 유도탄 구축함은 한국 KDDX 구축함의 하이브리드 추진 시스템과 유사한 통합 전기 추진 시스템과 가스터빈 엔진을 특징으로 합니다.
도심항공교통(UAM),도심항공교통(UAM),2025-01,항공/공군,도심항공교통(UAM) 운항통제 및 교통관리 시스템,미래 항공교통관리 기술,Urban Air Mobility (UAM) Traffic Management System,2021-07,same,3.5,high,"미국은 자율 및 유인 항공기의 안전하고 효율적인 운영을 위해 도시 항공 모빌리티(UAM) 기술, 항공 교통 관리 시스템 등을 적극적으로 개발하고 있습니다."
수소 연료전지,,2021-07,전력/에너지,수소 연료전지,상용화 단계,Plug-in Hybrid Tactical Generator (PHTG),2018-04,same,3.2,high,"미국의 플러그인 하이브리드 전술 발전기(PHTG)는 PEMFC(고분자 전해질 연료 전지) 기술을 활용하는 휴대용 발전기로, 한국의 시스템과 유사합니다."
AI 기반 자동차 수리비 자동견적 시스템 'AOS 알파',해당없음,2020-01,기타,"AI 기반 자동차 수리비 자동견적 시스템 'AOS 알파', MSA 기반 표준화된 보험 업무 서비스, 애자일 및 DevOps 개발 방식, 클라우드 아키텍처",차세대,Allstate QuickFoto Claim,2015-06,same,4.6,high,2015년 출시된 올스테이트 퀵포토 클레임 모바일 앱은 차량 피해 사진 제출과 수리 비용 추정 기능을 제공하여 한국의 기능과 유사합니다.
선박용 고안전성 에너지저장장치(ESS),"중대형 선박, 소형선박",2024-06,해상/해군,고안전성 에너지저장장치(ESS) 패키징 기술,개발 중,Littoral Combat Ship (LCS) Energy Storage System,2016-06,same,8.0,high,"미국 해군은 2010년대 초반부터 연안전투함(Littoral Combat Ship)을 위한 첨단 에너지 저장 시스템을 개발하고 배치해왔습니다. LCS 에너지 저장 시스템은 1MWh급 배터리 시스템으로,"
레이더(RADAR) 연동 안티드론 통합솔루션,군 중요시설,2021-06,통신/전자,"X-band AESA 레이더, 전파교란장치(Jammer), IR 카메라",최신,AN/TPS-80 G/ATOR,2019-08,same,1.8,high,"AN/TPS-80 G/ATOR은 미 해병대의 지상 기반 공중 방어 레이더 시스템으로, X-밴드 AESA 레이더, 전자전 대응 장치, 적외선 카메라를 사용하여 소형 드론을 탐지하고 추적합니다."
선박 자율운항 기술,선박,2022-06,해상/해군,선박 자율운항 기술,완전 자율운항,Autonomous Surface Vessel (ASV),2020-04,same,2.2,high,"미국 해군은 자율 수상 선박 기술 개발에 적극적으로 나서왔으며, 2020년 4월 자율 군집 보트(RIAT)의 최초 운용 배치가 이루어졌습니다. 이 선박들은"
"위성 안테나, 저궤도 위성통신, 에어모빌리티","저궤도 위성통신, 에어모빌리티(에어택시)",2021-05,통신/전자,"전자식 빔 조향 안테나(ESA), 메타구조 안테나, 반도체칩 안테나",전자식 위성 안테나 기술의 상용화 단계,Tracking and Data Relay Satellite System (TDRSS),1983-04,more advanced than Korean,38.1,high,"추적 및 데이터 중계 위성 시스템(TDRSS)은 1983년 미국에 의해 최초로 배치되었으며, 이는 기술된 한국 시스템보다 수십 년 앞섭니다. TDRSS는 전 지구적 위성 통신과 추적 기능을 제공했습니다."
수소연료전지 기반 200kg급 카고 드론,수소연료전지 기반 200kg급 카고 드론,2025-06,항공/공군,수소연료전지,미상,Lockheed Martin Stalker VXE,2021-08,same,3.8,high,록히드마틴 스토커 VXE는 한국 시스템과 유사한 수소 연료 전지 시스템을 동력으로 하는 200kg급 화물 드론입니다. 록히드마틴은 2020년대 초반부터 스토커 VXE의 운용 배치를 시작했습니다.
수소 파워팩 드론,수소 파워팩 드론,2021-11,항공/공군,수소연료전지,신규/최신,RQ-16 T-Hawk,2005-06,same,16.4,high,RQ-16 T-호크는 미군이 정찰 및 감시 임무에 사용하는 소형 수소 동력 드론입니다. 이 드론은 장시간 비행 능력과 저소음/저진동 특성이 유사합니다.
열영상 융합형 3D카메라,자율주행차량,2025-01,통신/전자,열영상 융합형 3D카메라,차세대,DARPA CITE (Comprehensive Infrared Countermeasures) System,2022-06,same,2.6,high,"DARPA CITE 시스템은 2022년 배치되었으며, 250m 이상 물체 감지 능력의 XGA급 열화상 기능을 갖추고 있어, 한국의 '열/시각 융합 3D 카메라' 시스템과 유사합니다. 그러나"
MQ-8C 파이어 스카우트,MQ-8C 파이어 스카우트,2021-10,해상/해군,음파탐지기(소노부이),차세대,MQ-8C Fire Scout,2020-01,same,1.8,high,"미국의 MQ-8C 파이어스카우트는 한국의 MQ-8C 파이어스카우트와 동등한 시스템입니다. 미국 시스템은 2020년 1월 최초로 운용 배치되었으며, 이는 한국 시스템의 2020년 10월 배치 시기보다 앞섭니다."
"['정찰드론', '공격드론', '수송드론', '군집드론', 'AI기반 자율드론', 'UAM(Urban Air Mobility·도심항공교통)']","정찰드론, 공격드론, 수송드론, 군집드론, AI기반 자율드론, UAM(도심항공교통)",2030-06,공중/항공,"고성능 상용드론, AI 기반 자율비행, 군집드론 기술",3세대 이상 드론기술,RQ-4 Global Hawk,2001-06,more advanced than Korean,29.0,high,"RQ-4 글로벌 호크는 고고도 장기체공 무인항공기 시스템으로, 2001년부터 미군에서 운용 중이며, 한국의 시스템을 능가하는 기능을 갖고 있습니다."
다목적무인차량,6x6 다목적무인차량,2021-07,육상/지상,인공지능 기반 자율주행 및 원격주행 기술,첨단/최신 기술,Autonomous Resupply Vehicle (ARV),2019-05,same,2.2,high,미 육군은 2010년대 중반부터 한국의 6x6 다목적 무인차량과 유사한 자율주행 보급차량을 개발해왔습니다. 자율주행 보급차량(ARV) 프로그램은 초기 운용에 성공했습니다.
전기추진시스템,에어택시,2021-06,항공/공군,전기추진시스템,최신,Joby Aviation eVTOL,2021-04,same,0.2,high,조비 항공의 eVTOL은 2021년 한국 시스템과 동등한 수준의 기술을 달성했습니다. 조비 항공은 최초의 상업용 eVTOL 항공기 인증을 받았습니다.
차세대 중형위성,차세대중형위성,2022-01,우주,"500kg급 표준플랫폼, 광학·레이더·적외선·초분광기 탑재체",차세대 중형위성,Landsat series,1972-07,more advanced than Korean,49.5,high,"미국은 1970년대부터 랜드샛 시리즈를 포함한 지구 관측 위성을 운영해왔으며, 랜드샛 1호는 1972년에 발사되었습니다."
"['무인체계', '우주/위성', 'AI/컴퓨팅', '센서/통신', '해양/기상', '센서/통신/레이더', '함정/항공기']",MQ-8C 파이어 스카우트,2021-03,해상/해군,무인체계,개량형,MQ-8C Fire Scout,2017-09,same,3.5,high,"MQ-8C 파이어 스카우트는 한국의 MQ-8C 파이어 스카우트와 유사한 무인 해상 감시 및 정찰 플랫폼으로, 2012년 9월에 첫 운용 배치되었습니다."
"군 위성통신체계, 위성통신 모뎀, OTM(On-The-Move) 단말",군 위성통신체계,2021-02,통신/전자,"위성통신 모뎀, OTM(On-The-Move) 단말",차세대,Mobile User Objective System (MUOS),2012-02,same,9.0,high,"모바일 사용자 목표 시스템(MUOS)은 미군의 차세대 협대역 전술 위성통신 시스템으로, 2012년 2월에 최초 운용되었습니다."
Machine Control Excavator,굴착기,2021-02,육상/지상,머신컨트롤(Machine Control),반자율,Caterpillar D8T Dozer with Grade Control,2006-07,same,14.6,high,"캐터필러 D8T 도저는 실시간 현장 감지, 자동 평탄화, 굴착 기능 등 한국 시스템과 유사한 기능을 갖추고 2006년에 최초 배치되었습니다."
AMCM의 MAK-4 프린터,로켓,2021-06,우주,"적층 제조(additive manufacturing), 쿼드 레이저 프린팅",최신 세대,Direct Metal Laser Sintering (DMLS) Rocket Engine Manufacturing,2016-09,same,4.8,high,미국은 최소 2016년부터 로켓 엔진 제조를 위한 직접 금속 레이저 소결(DMLS) 기술을 상업 및 군사 우주 발사체에 운용해왔습니다.
수소 연료전지 드론,드론,2021-01,항공/공군,수소 연료전지,상용화 단계,RQ-11 Raven,2007-11,same,13.2,high,"RQ-11 레이븐은 미군이 정찰 및 감시 목적으로 사용하는 소형 수동 발사 드론입니다. 한국 드론과 유사한 능력을 가지고 있으며, 최대 90분 비행 가능합니다."
M-346 고급 제트 훈련기,M-346 고급 제트 훈련기,2021-01,항공/공군,고급 제트 훈련기,현대 고급 제트 훈련기,Northrop T-38 Talon,1961-10,same,59.2,high,"노스롭 T-38 탈론은 미국의 한국 M-346 고등훈련기와 동등한 기종입니다. T-38은 1961년 미공군에 배치되었으며, 이는 2021년 M-346 배치 전입니다."
메타구조 기반 전자식 위성통신 안테나,위성통신,2021-01,통신/전자,메타구조 기반 전자식 위성통신 안테나,상용화 단계,Wideband Global SATCOM (WGS) satellites,2007-10,same,13.2,high,2007년 첫 배치된 미국의 Wideband Global SATCOM (WGS) 위성 시스템은 한국의 전자주사배열 (ESA) 위성통신 플랫폼과 유사한 기능을 제공합니다.
"['데이터 보안 공유', 'F-22', 'F-35', 'XQ-58A 발키리', '네트워크']",F-22 Raptor,2020-12,항공/공군,데이터 보안 공유,5세대,F-22 Raptor,2005-12,same,15.0,high,"F-22 랩터는 한국의 F-22 랩터와 동등한 기종입니다. F-22 랩터는 2005년 12월 미공군에 최초 배치되었으며, 이는 한국 배치 이전입니다."
수소 충전 인프라,수소 충전 인프라,2021-03,기타,"수소 추출기, 압축기, 디스펜서",국산화 기술 개발,Hydrogen Fueling Infrastructure,2015-06,same,5.8,high,미국 에너지부의 수소 및 연료전지 기술 사무소는 2000년대 초반부터 전국적인 수소 충전 인프라 구축을 진행해 왔습니다. 2015년까지 일정 수준의 인프라를 구축했습니다.
LTE-R 활용 한국형 열차신호시스템 (KTCS-2),KTX 고속열차,2022-06,통신/전자,LTE-R 활용 한국형 열차신호시스템 (KTCS-2),4세대,Positive Train Control (PTC) system,2018-12,same,3.5,high,"미국의 Positive Train Control (PTC) 시스템은 실시간 열차 제어, 양방향 통신, SIL 4 안전 인증 등 한국의 KTCS-2와 유사한 기능을 제공합니다. PTC는 2008년 법제화되었습니다."
열영상 도트복합조준장비,기관총,2020-12,통신/전자,열영상 도트복합조준장비,2세대,AN/PAS-13 Thermal Weapon Sight,2001-06,same,19.5,high,"AN/PAS-13 열상 무기 조준경은 한국의 '열상 점射 복합 조준 장치'와 동등한 시스템으로, 열영상 및 레이저 거리측정 기능을 제공합니다."
기가 철근,건축 구조물,2020-12,육상/지상,기가 철근,초고강도 철근 (1세대),High-Strength Steel Reinforcement Bars,2015-06,same,5.5,high,"미국은 대규모 건설 프로젝트에 사용되는 고강도 철근 개발을 선도해왔습니다. 가용한 연구 결과에 따르면, 미국은 한국과 유사한 기술 수준을 달성했습니다."
초연결 기반 스마트 개인감시체계,개인 무기/장비,2021-01,통신/전자,초연결 기반 스마트 개인감시체계,첨단,Nett Warrior,2017-07,same as Korean,3.5,high,"2017년 미국 육군이 배치한 Nett Warrior 시스템은 1km 실시간 영상 공유, 주야간 카메라 기능, 통합된 특징을 포함하여 설명된 한국 시스템과 유사한 기능을 제공합니다."
무선통신장비,무선통신장비,2020-11,통신/전자,"이동통신용 최적화, 시험·계측솔루션 및 소형기지국(SmallCell)","3G, 4G, LTE, 5G",Integrated Tactical Network (ITN),2018-09,more advanced than Korean,2.2,high,"미국의 통합 전술 네트워크(ITN)는 배치된 부대에 안전하고 대역폭이 높은 음성, 영상, 데이터 연결성을 제공하는 모바일 통신 플랫폼입니다. ITN은 3G, 4G, 5G를 통합합니다."
차세대 군용차 표준 플랫폼,차세대 군용차 표준 플랫폼,2024-01,육상/지상,2.5톤 및 5톤 중형표준차량 개발,차세대,FMTV (Family of Medium Tactical Vehicles),1996-01,same,28.0,high,"미국의 FMTV 프로그램은 1990년대 초반에 시작되었고 1996년 첫 모델이 배치되었으며, 7리터 디젤 엔진 등 설명된 한국 시스템과 유사한 기능 사양을 충족합니다."
"['스마트폰 연동 전투지휘체계', '자폭 드론', '자율주행 무인차량']","스마트폰, 무인차량, 드론",2021-06,통신/전자,스마트폰 연동 전투지휘체계,4차 산업혁명 기술,Tactical Battle Management System (TBMS),2017-09,same,3.8,high,미국의 전술 전장 관리 시스템(TBMS)은 설명된 한국 시스템과 유사한 실시간 전장 상황 인식과 지휘 통제 기능을 제공합니다. TBMS는 처음 운용된 것이 2010년대 초반입니다.
소형무인기 대응체계,공군기지,2025-01,항공/공군,소형무인기 대응체계,미상,Mobile Integrated Defense Counter-small Unmanned Aircraft System (MIDS-sUAS),2022-06,same,2.6,high,"미국은 군사 시설과 핵심 인프라에 대한 소형 무인기 위협을 탐지, 식별, 중화시키는 MIDS-sUAS 시스템을 개발했으며, 이 시스템은 한국 시스템과 유사한 기능을 제공합니다."
수소전기트럭,엑시언트 수소전기트럭,2020-10,육상/지상,수소연료전지,양산,Nikola Tre FCEV,2021-04,same,-0.5,high,니콜라 Tre FCEV는 한국의 엑시언트 수소 연료전지 트럭에 해당하는 미국 제품입니다. 두 제품 모두 대형 상용 수소 연료전지 전기 트럭입니다. 니콜라는 2020년부터 생산과 배송을 시작했습니다.
차세대 전술트럭,차세대 전술트럭,2020-09,육상/지상,"7리터급 디젤엔진, 자동변속기, ABS, ASR, 후방주차보조, 첨단 운전자 보조 시스템, 원격사격통제체계(RCWS)",차세대,Family of Medium Tactical Vehicles (FMTV),1995-03,same,25.5,high,"2.5톤과 5톤 트럭 가족으로 구성된 미국 FMTV 프로그램은 1995년에 배치되었으며, 디젤 엔진, 자동 변속기 등 설명된 한국 시스템과 유사한 핵심 기술이 포함되어 있습니다."
"['적외선 분광기의 이동 반사경 틸트 보상시스템', '적외선 영상센서와 스마트폰을 탑재한 소형 드론의 목표물 분석기술', '레이저를 통해 해양 오일 유출 유무를 감지할 수 있는 소형 광센서 모듈']","휴대용 원격 유독가스 누출 감시 장비, 드론 탑재형 조기 경보 시스템",2022-09,기타,적외선 분광기의 이동 반사경 틸트 보상시스템,민간/산업용 기술 수준,Portable Methane Gas Leak Detector,2019-06,same,3.2,high,"미국은 적외선 분광, 실시간 모니터링, 경량 설계 등 한국 시스템과 유사한 기능을 가진 휴대용 메탄 가스 누출 탐지기를 개발했습니다. 이러한 시스템은 널리 사용되고 있습니다."
양자암호통신,-,2021-12,통신/전자,양자암호통신,차세대 보안 기술,National Quantum Communications Network,2020-06,same,1.5,high,미국은 정부와 군대 통신의 보안을 위해 양자 통신 기술 개발에 적극적으로 나서고 있습니다. 국방부와 국가 과학재단이 공동으로 운영하는 '국가 양자 통신 네트워크' 프로그램이 대표적입니다.
"무인잠수정(UUV), 센서 처리 및 활용 기술",무인잠수정(UUV),2020-09,해상/해군,센서 처리 및 활용 기술,차세대,Bluefin-21 UUV,2009-04,same,11.4,high,"블루핀 로보틱스(현 제너럴 다이나믹스)가 개발한 블루핀-21 무인잠수정은 한국의 무인잠수정과 유사한 성능을 갖추고 있습니다. 4,500미터의 작동 깊이를 보유하고 있습니다."
컴뱃셔츠,전투복,2011-06,육상/지상,컴뱃셔츠,21세기 현대전 기술 수준,Army Combat Uniform (ACU),2005-06,same,6.0,high,"2005년 미국 육군이 도입한 육군 전투복(ACU)은 한국군 전투셔츠와 유사한 기능적 특성, 즉 흡습성, 신속 건조성, 통기성 등을 갖추고 있습니다."
