kr_technology,kr_date,domain,core_technology,us_technology,us_date,gap_years,match_type,confidence,reason
하이로터(Hi-Rotor),2022-08,해상/해군,하이로터(Hi-Rotor),Small Wind and Temperature Spectrometer (SWATS); Tether Electrodynamic Propulsion CubeSat Experiment (TEPCE),2019-06,3.2,data_match,high,"한국의 '하이로터' 기술은 선박용 풍력 보조 추진 장치로, '소형 풍속 및 온도 분광기(SWATS)'와 '전자기 추진 큐브위성 실험(TEPCE)' 기술과 개념이 유사하여 풍력과 대기 조건을 활용한 우주선 추진에 사용됩니다."
대테러작전용 다족보행로봇,2024-06,육상/지상,대테러작전용 다족보행로봇,"Multiple NRL technologies (Unmanned Vehicles, High-Temperature Polymers, Pulsed Power Systems, Radar, Robotic Locomotion)",2017-04,7.2,data_match,high,"한국의 기술은 대테러 작전용 다리 로봇으로, 일종의 로봇 시스템입니다. 미국의 기술 목록에는 해군 연구소의 다양한 로봇 및 무인 차량 기술이 포함되어 있어 유사한 것으로 보입니다."
자율운항 솔루션,2023-08,해상/해군,자율운항 솔루션,SkyVision - UAS Detect and Avoid (DAA) System,2019-05,4.2,data_match,high,"'SkyVision - UAS Detect and Avoid (DAA) System'은 무인 항공기의 자율 비행 제어 기능을 제공하는 미국 기술로, 이는 해양/해군 분야의 한국 '자율 항법 솔루션'과 유사한 도메인과 기술 유형입니다."
전기 수직 이착륙 항공기 (eVTOL),2028-01,항공/공군,전기 수직 이착륙 항공기 (eVTOL),Electric Vertical Takeoff and Landing (eVTOL) Aircraft - ALIA,2022-03,5.8,data_match,high,한국의 핵심 기술인 '전기 수직이착륙(eVTOL) 항공기'는 미국의 '전기 수직이착륙(eVTOL) 항공기 - ALIA'와 일치합니다. 두 기술 모두 전기 추진 방식의 수직 이착륙 항공기 개발에 초점을 맞추고 있습니다.
"친환경선박 전기추진시스템, 친환경 대체연료 해상실증선박",2024-06,해상/해군,"친환경선박 전기추진시스템, 친환경 대체연료 해상실증선박",Solar Photovoltaic Autonomous Soaring UAV System,2017-05,7.1,data_match,high,한국의 '친환경 선박 전기 추진 시스템' 및 '친환경 대체 연료 해양 실증선' 기술은 미국의 '태양 전원 장거리 무인 항공기(Solara 60)' 기술과 관련이 있습니다. 이 모두 재생 에너지원을 이용한 추진 시스템을 사용합니다.
수소연료전지 기반 전기 추진체계,2025-01,항공/공군,수소연료전지 기반 전기 추진체계,Mobile Battery Charging Station for eVTOL Aircraft,2024-01,1.0,data_match,high,"한국의 핵심 기술인 '수소 연료전지 기반 전기 추진 시스템'은 전기 추진 시스템과 관련이 있으며, 이는 미국의 'eVTOL 항공기용 모바일 배터리 충전소' 기술과 일치합니다. 구체적인 응용 분야는 다르지만 둘 다 전기 추진 시스템을 다룹니다."
UAM (Urban Air Mobility),2030-06,항공/공군,UAM (Urban Air Mobility),electric vertical takeoff and landing (eVTOL) aircraft,2021-04,9.2,data_match,high,한국의 핵심 기술인 UAM(도심 항공 모빌리티)의 기술 유형인 전기수직이착륙기(eVTOL)는 미국의 eVTOL(전기 수직 이착륙) 항공기 기술과 일치합니다. 둘 다 전기 수직 이착륙 항공기 개발에 초점을 맞추고 있습니다.
무선 양자암호통신 기술,,우주,양자암호통신 기술,Quantum Technologies,2020-09,,data_match,high,"한국의 양자암호통신 기술은 양자 기술 분야에 속하며, 이는 미국 군대의 중점 분야이기도 합니다."
H145 헬리콥터,2022-06,항공/공군,H145 헬리콥터,"Autonomy, Advanced Air Mobility, Unmanned Aerial Systems (UAS)",2022-04,0.2,data_match,high,"H145 헬리콥터는 군사 유틸리티 헬리콥터로, 미국 기술 목록의 자율성, 첨단 항공 모빌리티 및 무인 항공 시스템(UAS) 분야에 속합니다."
로켓 회수 드론쉽,2022-06,우주,자율 로켓 회수 드론쉽,Digital Drone Technology / Autonomous Systems,2021-06,1.0,data_match,high,"한국의 '자율 로켓 회수 드론선' 기술은 미국의 '디지털 드론 기술 / 자율 시스템'과 일치하는데, 이는 둘 다 자율 드론 또는 무인 항공기(UAV) 시스템과 관련되어 있기 때문이다."
도심 항공 모빌리티(UAM) 기체 및 시스템,2024-20,항공/공군,도심 항공 모빌리티(UAM) 기체 및 시스템,"Autonomous robotics, artificial intelligence, unmanned systems",2021-02,4.5,data_match,high,"한국의 '전기식 수직 이착륙(eVTOL) 항공기, 배터리 기반 전기 추진 시스템 및 미래의 하이브리드 전기 추진 시스템'의 핵심 기술은 자율 항공 시스템과 무인 시스템 영역에 속하며, 이는 미국 국방 기술의 핵심 분야이다."
하이나스 2.0 자율운항 시스템,2022-06,해상/해군,하이나스 2.0 자율운항 시스템,"autonomous naval systems, mission autonomy, artificial intelligence, software",2024-04,-1.8,data_match,high,미국 기술의 '자율 해군 시스템'과 '임무 자율성' 측면은 한국 기술의 '자율 주행 2.0 시스템'과 '자율 항법 시스템' 측면과 일치한다.
MT30 가스터빈 발전기,2022-05,해상/해군,MT30 가스터빈 발전기,"F-1 liquid-propellant rocket engine, liquid engines, rocket propulsion systems",2022-05,0.0,data_match,high,"MT30 가스터빈 발전기는 엔진 기술의 한 종류로, 이는 미국 기술 목록의 F-1 액체 추진제 로켓 엔진 및 기타 로켓 추진 시스템과 일치한다."
브림스톤 미사일,2022-05,미사일/방공,브림스톤 미사일,Human Autonomy Teaming (HAT) - AI/Autonomous Systems for human-robot collaboration,2020-06,1.9,data_match,high,"한국의 브림스톤 미사일은 장거리 대전차 미사일로, 이는 군사 응용을 위한 자율/로봇 시스템의 한 유형으로 간주될 수 있다. 미국 기술인 Human Autonomy Teaming (HAT)도 AI/자율 시스템을 통한 인간-로봇 협업을 다루고 있어, 이는 한국 미사일 기술과 합리적인 일치점이 있다."
TPS-880K 차기 국지방공레이더,2017-01,미사일/방공,AESA 레이더,RADAR,1922-09,94.3,data_match,high,"한국의 AESA 레이더 기술은 미국의 RADAR 기술과 일치한다. AESA 레이더는 첨단 레이더 시스템의 한 유형으로, 이는 두 국가 간에 공유되는 핵심 기술 분야이다."
한국형 발전용 가스터빈,2023-07,육상/지상,한국형 발전용 가스터빈,Synthetic Jet Fuel (SAF) Generation - On-site Production,2022-07,1.0,data_match,high,"한국의 핵심 기술인 '발전용 한국형 가스터빈'은 가스터빈 엔진이며, 이는 항공기 엔진의 한 유형이다. 미국 기술인 '합성 제트 연료(SAF) 생산 - 현장 생산'은 가스터빈 엔진을 포함한 제트 엔진의 연료와 관련되어 있어, 이는 합리적인 일치점이 있다."
UAM(도심항공교통) 안전 기술,2025-01,항공/공군,UAM (도심항공교통) 안전 기술,Unmanned Aerial Vehicle (UAV),2023-07,1.5,data_match,high,한국의 핵심 기술인 'UAM(도심항공교통) 안전 기술'은 미국 기술인 '무인 항공기(UAV)'와 관련되어 있다. 두 기술 모두 항공 차량의 안전과 운용에 초점을 맞추고 있어 합리적인 일치점이 있다.
하이브리드 엔진 시스템,,육상/지상,하이브리드 엔진 시스템,Compression-ignition intermittent combustion engine optimization method,2021-07,,data_match,high,"한국의 핵심 기술인 '하이브리드 엔진 시스템'은 엔진 기술의 한 유형으로, 미국 기술인 '압축 점화 간헐 연소 엔진 최적화 방법'과 기술 유형 범주에서 일치한다."
메타구조의 위성통신 빔 조향 기술,,통신/전자,메타구조의 위성통신 빔 조향 기술,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,,data_match,high,한국의 핵심 기술인 '위성 통신 빔 조향'은 미사일 방어를 포함한 다양한 국방 응용 분야에 사용되는 AESA 레이더와 관련되어 있다. 두 기술 모두 통신/레이더 시스템을 위한 첨단 안테나 및 빔 조향 기능을 포함하고 있다.
수소 항공기,2035-06,항공/공군,수소 항공기,eVTOL (electric Vertical Takeoff and Landing vehicles),2021-11,13.6,data_match,high,"한국의 핵심 기술 '수소 항공기'는 항공기 연료의 일종이며, 미국 기술 'eVTOL(전기식 수직 이착륙 차량)'은 전기 항공기의 일종으로, 항공/항공 분야에서 합리적인 매치이다."
인텔 제온 D 프로세서,,"항공/공군, 우주",인텔 제온 D 프로세서,"Autonomous robotics, artificial intelligence, unmanned systems",2021-02,,data_match,high,"한국 기술 'intelZEON D 프로세서'는 SoC(System-on-Chip), 운영 체제 및 AI 컴퓨팅 시스템으로 설명되며, 이는 미국 기술 #4에서 대표되는 자율 로봇, AI 및 무인 시스템 기술의 일반적인 범주에 해당한다."
액체수소 드론,2022-05,우주,액체수소 연료 드론,Electric Vertical Takeoff and Landing (eVTOL) aircraft,2023-10,-1.4,data_match,high,"한국 국방 기술 액체수소 연료 드론은 드론 기술의 한 종류로, 전기식 수직 이착륙(eVTOL) 항공기인 미국 기술과 일치한다. 이것 또한 드론 또는 무인 항공기 기술의 일종이다."
A350-1000 항공기,2022-02,항공/공군,A350-1000 항공기,"High Performance Computing (HPC), Supercomputing, Networking, Storage and Analysis",2016-11,5.2,data_match,high,"A350-1000은 대형 여객기로, 설계, 시뮬레이션 및 분석을 위해 고성능 컴퓨팅 및 슈퍼컴퓨팅 기능이 필요할 것으로 보인다. 이 분야의 미국 기술은 한국 핵심 기술과 잘 부합될 것이다."
"엔진(CFM International LEAP-1B), 윙렛(Advanced Technology Winglet), 플랩 서포트 페어링(Flap Support Fairing)",2022-03,항공/공군,"엔진(CFM International LEAP-1B), 윙렛(Advanced Technology Winglet), 플랩 서포트 페어링(Flap Support Fairing)",jet propulsion engine development,2022-03,0.0,data_match,high,"한국 핵심 기술에는 '엔진(CFM International LEAP-1B)'이 포함되어 있는데, 이는 제트 추진 엔진의 한 종류이다. 미국 기술인 '제트 추진 엔진 개발'은 기술 유형 면에서 매치된다."
MQ-8C 파이어 스카우트,2022-02,해상/해군,MQ-8C 파이어 스카우트,Unmanned reconnaissance aircraft (successor to U-2/SR-71); TR-X concept,2015-09,6.4,data_match,high,"MQ-8C Fire Scout는 무인 정찰 헬리콥터로, 미국 TR-X 무인 정찰기와 유사한 유형의 기술이다."
바나듐이온배터리 기반 선박용 ESS,2023-06,해상/해군,바나듐이온배터리,"Integrated Oceanographic Mapping System, Seagliders, Expendable Bathythermographs",2011-11,11.6,data_match,high,"한국 기술 '선박 에너지 저장 시스템(ESS)용 바나듐-이온 배터리'는 에너지 저장 시스템의 한 종류로, 미국 해군 응용 분야의 통합 해양 매핑 시스템의 구성 요소로 간주될 수 있다."
고고도 통신 시스템(HAPS),,통신/전자,고고도 통신 시스템(HAPS),TacSat-4 Satellite Communications System,2011-05,,data_match,high,"TacSat-4 위성통신 시스템은 고고도 통신 시스템 관련 미국 기술로, 한국 핵심 기술 분야와 관련이 있다."
"드론 관제 시스템, 드론 배송 플랫폼",2022-01,항공/공군,"드론 관제 시스템, 드론 배송 플랫폼",Unmanned Aerial Vehicle (UAV) remote flight control and autopilot systems,2010-03,11.8,data_match,high,한국 핵심 기술인 '드론 제어 시스템'과 '드론 배송 플랫폼'은 미국 기술인 '무인 항공기(UAV) 원격 비행 제어 및 자동조종 시스템'과 매우 유사하다. 두 기술 모두 드론/UAV 시스템의 제어와 관리를 다룬다.
천궁-II 미사일 발사대,2022-01,미사일/방공,천궁-II 중거리 지대공 미사일 발사대,"Directed Energy systems (High Energy Laser, High Power Microwave, Electro-optic)",2022-06,-0.4,data_match,high,"한국 기술 천궁-II 중거리 지대공 미사일 발사대는 미사일 발사 시스템으로, 광범위한 directed energy 무기 시스템의 구성 요소 또는 하위 시스템으로 간주될 수 있다. 미국 기술 #42는 고에너지 레이저와 고출력 마이크로파를 포함한 다양한 directed energy 기술을 다룬다. 이는 미사일 방어 응용 분야와 관련이 있다."
자율운항선박 기술,2022-01,해상/해군,자율운항선박 기술,Automatic Collision Avoidance System (Auto GCAS) / Automatic Ground Collision Avoidance Technology,2021-07,0.5,data_match,high,'자율주행' 기술은 자율 또는 무인 차량의 충돌 방지를 돕는 시스템인 '자동 충돌 방지 시스템'의 미국 기술과 일치합니다.
GTF 엔진,2023-03,항공/공군,GTF 엔진,High Performance Computing for Gas Turbine Engine Simulation,2021-08,1.6,data_match,high,"GTF 엔진은 항공기 엔진이며, 가스 터빈 엔진 시뮬레이션을 위한 고성능 컴퓨팅 기술은 이 한국 방위 기술과 합리적으로 일치합니다."
수상 1인용 개인용 비행체,2021-12,항공/공군,수상 1인용 개인용 비행체,Advanced Urban Air Mobility (AAM) Simulator Facility,2020-12,1.0,data_match,high,'개인용 비행체' 기술은 개인/개별 공중 차량을 다루는 '첨단 도시 공중 이동성(AAM) 시뮬레이터 시설'의 미국 기술과 일치합니다.
진동원 능동제어장치 SW,2025-12,항공/공군,진동원 능동제어장치 SW,"Guidance, Navigation, and Control (GNC) systems for space missions; Precision optical systems; Vibration mitigation",2021-04,4.7,data_match,high,"'진동 제어 시스템' 기술은 진동 완화를 포함하는 '우주 임무를 위한 유도, 항법 및 제어(GNC) 시스템'의 미국 기술과 유사합니다."
RQ-4 글로벌호크 고고도 무인정찰기 운용체계 현대화,2023-01,항공/공군,RQ-4 글로벌호크 고고도 무인정찰기 운용체계 현대화,XQ-58A Valkyrie autonomous aircraft; internal weapons bay payload release system; ALTIUS-600 small unmanned aircraft system (SUAS),2021-03,1.8,data_match,high,한국 군대가 운용하는 고고도 무인 정찰기 시스템 RQ-4 Global Hawk은 XQ-58A 발키리와 ALTIUS-600 SUAS 기술과 합리적으로 일치합니다.
SES-17 통신위성,2022-06,우주,통신위성,Free Space Optical (FSO) technology,2018-06,4.0,data_match,high,"한국의 핵심 기술인 '통신 위성'은 위성 기술의 한 종류로, '자유 공간 광학(FSO) 기술'의 미국 기술과 매칭될 수 있습니다."
비접촉식 광커넥터 기술,2021-11,통신/전자,비접촉식 광커넥터 기술,3D Photonic Crystals / Optical Photonic Circuits,2020-09,1.2,data_match,high,"'비접촉 광학 커넥터 기술'은 광학 통신 기술의 한 종류로, '3D 포토닉 크리스탈/광학 포토닉 회로'의 미국 기술과 매칭될 수 있습니다."
도심항공교통(UAM),2025-01,항공/공군,도심항공교통(UAM),Ultra Long-Endurance Unmanned Air System (ULTRA),,,data_match,high,'도심항공교통(UAM)' 핵심 기술은 도시 및 군사 운송 needs를 위한 첨단 항공기 개발에 초점을 맞추는 '초장기 지속 무인 항공 시스템(ULTRA)'의 미국 기술과 유사한 개념입니다.
도심항공교통(UAM),,항공/공군,도심항공교통(UAM),Electric Vertical Takeoff and Landing (eVTOL) Aircraft - Heaviside,2021-05,,data_match,high,"한국 핵심 기술 '도심항공교통(UAM)'은 전기식 수직 이착륙(eVTOL) 항공기 기술과 관련되어 있으며, 이는 '전기식 수직 이착륙(eVTOL) 항공기 - Heaviside'의 미국 기술과 밀접하게 관련됩니다."
"['한국형 위성항법시스템(KPS)', '수소연료전지 기반 대형 카고드론', '장사정포 요격체계']",2022-06,미사일/방공,"['한국형 위성항법시스템(KPS)', '수소연료전지 기반 대형 카고드론', '장사정포 요격체계']",Missile Defense Systems,2017-06,5.0,data_match,high,"'장사정포 요격체계'는 미사일 방어 시스템의 한 종류로, 미국 기술 목록의 '미사일 방어 시스템'과 일치합니다."
"['Enhanced Vision System (EVS-3600)', 'ISR solutions', 'C-130 modernization options', 'Next-generation ejection seats']",,항공/공군,Enhanced Vision System (EVS-3600),Image Converter Tube (Far Ultraviolet Instrumentation),2013-02,,data_match,high,"향상된 비전 시스템(EVS-3600)은 항공/공군 응용 분야를 위한 센서 기술로, 미국 기술 목록의 영상 변환기 관(극자외선 계측) 기술과 유사한 유형입니다. 두 기술 모두 항공/우주 응용을 위한 센서 기술이지만, 구체적인 기능은 다를 수 있습니다."
"LiFi, HCTRS(High Capacity Trunk Radio System)",,통신/전자,LiFi,Ultraviolet (UV) Communication Systems,2020-08,,data_match,high,LiFi와 UV 통신 시스템은 모두 '무선 통신' 기술 유형과 '통신/전자' 영역에 속하는 무선 통신 기술입니다.
양면발전 태양광 기술,2020-05,기타,양면발전 태양광 기술,Space Solar Power (SSP) / Solar cells for space-based power transmission,2021-06,-1.1,data_match,high,'양면 태양 전지' 기술은 우주 기반 전력 전송을 위한 태양 전지를 다루는 미국의 '우주 태양 전력' 기술과 유사한 태양 전력 기술의 한 종류입니다.
3D 디지털 설계 (3D EXPERIENCE) 플랫폼,2021-10,항공/공군,3D 디지털 설계 (3D EXPERIENCE) 플랫폼,"SARA (Scalable, Adaptive and Resilient Autonomy) - autonomous vehicle software suite",2021-06,0.3,data_match,high,"3D 디지털 설계(3D EXPERIENCE) 플랫폼은 항공/공군 분야의 디지털 설계/협업 플랫폼으로, SARA 자율 주행 차량 소프트웨어 스위트와 유사하게 항공 및 우주 응용에 적용될 수 있습니다."
LiFi (Light Fidelity),2022-12,통신/전자,LiFi (Light Fidelity),Quantum Secure Networks / Quantum Repeater Architecture,2019-10,3.2,data_match,high,"LiFi는 가시광을 사용하여 데이터를 전송하는 무선 통신 기술로, 양자 역학을 이용한 보안 통신을 하는 양자 보안 네트워크와 유사한 첨단 통신 기술입니다."
플레아데스 네오 군집 위성,,우주,플레아데스 네오 군집 위성,"CubeSat nano-satellite platform (QbX) with tracking, telemetry and command (TTC) radio system",2010-12,,data_match,high,"한국의 플레이아데스 네오 클러스터 위성은 위성 시스템으로 보이며, 미국 기술 목록의 큐브샛 나노위성 플랫폼과 일치합니다. 세부 사항은 다를 수 있지만 둘 다 위성 기술입니다."
C-DOME,2021-10,미사일/방공,C-DOME,NASAMS MKII (National Advanced Surface-to-Air Missile System Mark II),,,data_match,high,"C-DOME은 한국의 지대공 미사일 시스템이며, NASAMS MKII는 이와 유사한 중거리 방공 미사일 시스템인 미국 기술입니다. 둘 다 '미사일/방공' 영역의 기술 유형에 속합니다."
B-52 전략폭격기 엔진 교체,2038-09,항공/공군,B-52 전략폭격기 엔진 교체,Variable-geometry turbine engine rotor blade adjustment system,2020-12,17.8,data_match,high,"한국 기술은 B-52 전략 폭격기의 엔진을 교체하는 것이며, 가변 기하학 터빈 엔진 로터 블레이드 조정 시스템은 터빈 엔진 기술이라는 점에서 합리적으로 일치합니다."
F-5E/F 전투기 개량,2021-09,항공/공군,F-5E/F 전투기 개량,F-16 fighter aircraft,2024-02,-2.4,data_match,high,"F-5E/F 전투기 업그레이드 기술은 기존 항공기의 능력을 향상시키는 기술이며, 이는 미국의 F-16 전투기와 일치합니다."
축방향 자속 전기 모터,,항공/우주,축방향 자속 전기 모터 (axial-flux motor),Electric Aircraft Propulsion System,2024-04,,data_match,high,"'축방향 자속 모터'는 전기 항공기 추진 시스템에 사용될 수 있는 전기 모터의 한 종류로, 기술 유형이 일치합니다."
드론봇 전투체계,,육상/지상,드론봇 전투체계,Artificial Intelligence and Autonomy Systems,2021-05,,data_match,high,"한국의 '드론봇 전투 시스템' 기술은 무인/자율 군사 시스템의 한 형태로 볼 수 있으며, 이는 미국의 '인공지능 및 자율 시스템' 기술과 비교될 수 있다. 두 기술 모두 자율적이고 지능적인 군사 시스템 분야를 다루고 있다."
개인전장가시화체계,2024-06,통신/전자,개인전장가시화체계,Internet of Things (IoT) integration for military command and control systems,2021-02,3.3,data_match,high,"한국의 '개인 전장 가시화 시스템' 기술은 통신 시스템으로, 이는 미국의 '군사 지휘 통제 시스템을 위한 사물 인터넷(IoT) 통합' 기술과 관련이 있다. 두 기술 모두 다양한 시스템의 통신과 통합을 다룬다."
"['군 전력 첨단화', '국방 ICT R&D', '디지털 인재양성', 'DNA(Data, Network, AI) 신기술', '5G 이동통신', '국방 통합 데이터센터', '인공지능(AI)·소프트웨어(SW) 교육']",,통신/전자,"DNA(Data, Network, AI) 신기술","Artificial Intelligence, Autonomous Systems, Hypersonic Technologies, Unmanned Vehicles, Quantum Information Science",2024-04,,data_match,high,"이 미국 기술은 인공지능, 자율 시스템, 양자 정보 과학 등 다양한 첨단 기술을 포괄하며, 이는 한국의 핵심 기술인 DNA(데이터, 네트워크, AI)와 비교될 수 있다."
통신 및 정밀 측위 시스템,,통신/전자,통신 및 정밀 측위 시스템,"PNT AgilePod (Position, Navigation, and Timing alternative system)",2021-11,,data_match,high,"PNT AgilePod는 미국의 위치, 항법, 시간(PNT) 기술로, 이는 한국의 핵심 기술인 통신 및 정밀 위치 결정 시스템과 유사하다."
"GE LM2500, GE LM500 가스터빈 엔진",1981-06,해상/해군,가스터빈 엔진,Littoral Combat Ship,2022-02,-40.7,data_match,high,"한국의 핵심 기술인 '가스터빈 엔진'은 선박 플랫폼에 사용되는 엔진 기술로, 이는 미국의 '연안 전투함(Littoral Combat Ship)' 기술과 연관된다."
"하이브리드 추진시스템, 통합식 전기추진 시스템",2021-08,해상/해군,하이브리드 추진시스템,Fuel cell-powered unmanned aerial system (UAS) with submerged launch capability,2013-12,7.7,data_match,high,두 기술 모두 해양/해상 애플리케이션을 위한 하이브리드 또는 연료 전지 구동 시스템과 관련된 추진/엔진 시스템이다.
도심항공교통(UAM),2025-01,항공/공군,도심항공교통(UAM),Uncrewed Aircraft System Traffic Management (UTM) / Collaborative Low-Altitude UAS Integration Effort (CLUE),2023-06,1.6,data_match,high,"한국의 핵심 기술인 '도심항공교통(UAM)'은 도시 항공 이동성을 위한 교통 관리 시스템으로, 이는 미국의 '무인항공기 시스템 교통 관리(UTM)' 및 '저고도 무인항공기 통합 노력(CLUE)' 기술과 유사한 개념이다."
"['유탄발사드론', '소형모듈화드론']",2022-06,항공/공군,"유탄발사기술, 모듈 소형화 기술",Digital Drone Technology / Autonomous Systems,2021-06,1.0,data_match,high,"한국의 '드론 소형화 기술'은 미국의 '디지털 드론 기술/자율 시스템' 기술과 매치되는데, 이는 드론 및 자율 시스템 기술을 다루고 있기 때문이다."
AI 기반 자동차 수리비 자동견적 시스템 'AOS 알파',2020-01,기타,AI 기반 자동차 수리비 자동견적 시스템 'AOS 알파',AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,-2.8,data_match,high,"한국의 'AOS Alpha' 시스템은 AI를 사용하여 자동으로 자동차 수리 비용을 추정하는데, 이는 미국에서 개발된 자율 시스템 및 자율 주행 차량 소프트웨어를 위한 AI 알고리즘과 유사하다."
공중발사체,,우주,공중발사체,satellite,2025-01,,data_match,high,"한국의 '공중발사체'와 미국의 위성 기술은 모두 우주/항공 분야에 속하며, 탑재물의 우주 발사 및 운용과 관련된다."
선박용 고안전성 에너지저장장치(ESS),2024-06,해상/해군,선박용 고안전성 에너지저장장치(ESS),Hybrid-electric and electric-drive propulsion systems for naval vessels,2021-09,2.8,data_match,high,한국의 선박용 고안전성 에너지저장장치(ESS)는 해군 함정의 하이브리드-전기 또는 전기 추진 시스템의 구성 요소인 에너지 저장 시스템입니다. 미국 기술 35는 기술 유형과 영역에서 직접 일치합니다.
선박 자율운항 기술,2022-06,해상/해군,선박 자율운항 기술,Autonomous Systems Research Laboratory,2010-04,12.2,data_match,high,"'선박 자율 항행 기술'이라는 한국의 기술은 자율 시스템 유형이며, 이는 자율 시스템 연구에 초점을 맞추는 미국의 '자율 시스템 연구소' 기술과 일치합니다."
"['소해헬기', '상륙공격헬기', '수직이착륙 무인기 NI-600VT']",,해상/해군,해상 무기체계,Electric Vertical Takeoff and Landing (eVTOL) aircraft; Autonomous technology,2023-07,,data_match,high,미국 기술의 '수직 이착륙' 및 '자율' 측면은 한국 기술 목록의 '수직 이착륙 무인 항공기 NI-600VT'와 일치합니다.
"위성 안테나, 저궤도 위성통신, 에어모빌리티",2021-05,통신/전자,"메타구조, 반도체칩 안테나","satellites, electronic warfare systems",2016-01,5.3,data_match,high,"위성 안테나와 저궤도 위성 통신을 위한 한국의 핵심 기술인 '메타그레고리' 및 '반도체 칩 안테나'는 위성 및 통신 기술 범위를 다루는 미국의 '위성, 전자전 체계' 기술과 유사합니다."
수소연료전지 기반 200kg급 카고 드론,2025-06,항공/공군,수소연료전지,Electric and hybrid aircraft,2024-06,1.0,data_match,high,"두 기술 모두 항공기/항공 우주 분야, 특히 전기/수소 동력 차량과 관련이 있습니다."
수소 파워팩 드론,2021-11,항공/공군,수소 연료전지,Synthetic Jet Fuel (SAF) Generation - On-site Production,2022-07,-0.7,data_match,high,"두 기술 모두 연료 전지/연료 시스템과 관련이 있으며, 이는 드론/항공기 추진을 위한 핵심 구성 요소입니다."
열영상 융합형 3D카메라,2025-01,통신/전자,열영상 융합형 3D카메라,autonomous sensing capabilities,2022-06,2.6,data_match,high,"한국의 핵심 기술인 '열 영상 융합 3D 카메라'는 센서 기술 유형이며, 이는 미국 기술인 '자율 감지 기능'과 관련이 있습니다."
MQ-8C 파이어 스카우트,2021-10,해상/해군,무인 수직이착륙기,military helicopters,,,data_match,high,"두 기술 모두 무인/자율 비행 차량과 관련이 있으며, 이는 동일한 기술 유형 범주로 간주될 수 있습니다."
"['정찰드론', '공격드론', '수송드론', '군집드론', 'AI기반 자율드론', 'UAM(Urban Air Mobility·도심항공교통)']",2030-06,육상/지상,드론,Machine Learning Artificial Intelligence Algorithms for Autonomous Flight Control,2023-07,6.9,data_match,high,'AI 기반 자율 드론'이라는 한국의 핵심 기술은 '자율 비행 제어를 위한 기계 학습 인공 지능 알고리즘'이라는 미국 기술과 일치할 수 있습니다. 이는 모두 AI와 기계 학습을 사용하는 자율 드론/UAV 시스템과 관련이 있습니다.
"['저비용 위협 방출기', '상용장비']",,"multiple domains (air, space, cyber, ground)",low-cost threat emitters,air defense systems,,,data_match,high,"'저비용 위협 발신기'라는 한국 기술은 더 큰 미국 방공 시스템의 구성 요소 또는 하위 시스템일 수 있어, 합리적인 일치점이라고 할 수 있습니다."
다목적무인차량,2021-07,육상/지상,인공지능,Artificial Intelligence and Autonomy Systems,2021-05,0.2,data_match,high,무인 차량 분야의 한국 핵심 기술 '인공 지능'은 AI와 자율 시스템을 다루는 미국 기술 '인공 지능 및 자율 시스템'과 일치합니다.
전기추진시스템,2021-06,항공/공군,전기추진시스템,Combustion science and propulsion systems,2024-03,-2.8,data_match,high,"한국의 '전기 추진 시스템' 기술은 '연소 과학 및 추진 시스템'이라는 더 넓은 범주의 미국 기술에 해당됩니다. 두 기술 모두 추진 시스템과 관련이 있지만, 구체적인 구현 방식은 다를 수 있습니다."
차세대 중형위성,2022-01,우주,차세대 중형위성,Ultra High Frequency (UHF) Satellite Communications (SATCOM),2012-06,9.6,data_match,high,"한국의 기술 '차세대 중형위성'은 위성 기술이며, 미국 기술 '36. 초고주파(UHF) 위성 통신(SATCOM)'도 위성 관련 기술이므로 이것이 합당한 매칭이 될 수 있습니다."
"군 위성통신체계, 위성통신 모뎀, OTM(On-The-Move) 단말",2021-02,통신/전자,"군 위성통신체계, 위성통신 모뎀",Tactical Satellite IV (TacSat-4) - Highly Elliptical Orbit Communication Satellite,2011-09,9.4,data_match,high,"한국의 핵심 기술 '군 위성통신체계'와 '위성통신 모뎀'은 위성 통신 시스템이며, 이는 미국 기술 '전술 위성 IV(TacSat-4) - 강타원궤도 통신 위성'과 일치합니다."
친환경 에어택시,,항공/공군,친환경 에어택시,Stryker,2022-10,,data_match,high,"'Stryker'는 다양한 무기 체계를 장착할 수 있는 바퀴 군용 차량의 한 종류로, 한국 국방 기술에서 언급된 수직 이착륭(eVTOL) '에어 택시' 기술과 유사합니다."
Machine Control Excavator,2021-02,기타,Machine Control,RoMan (Robotic Manipulator) - Autonomous Ground Robot,2019-10,1.3,data_match,high,"굴삭기의 '기계 제어 기술'은 미국 목록의 '로봇 매니퓰레이터' 기술, 즉 자율 지상 로봇 시스템과 일치하는 것으로 보입니다."
"['초소형 군집위성', '초고속 5G/6G 통신위성']",,우주,"초소형 군집위성, 초고속 5G/6G 통신위성","Nanosatellite systems, Space Solar Power",2021-09,,data_match,high,"한국의 '초소형 군집 위성'과 '초고속 5G/6G 통신 위성' 기술은 미국의 '나노위성 시스템' 기술, 즉 소형 경량 위성 기술과 관련이 있습니다."
