kr_technology,kr_date,us_technology,us_date,gap_years,confidence,reason
소형무인기 대응체계,2025-01,AI-based UAS mission planning algorithms for swarm coordination and search operations,2019-11,5.2,high,"The Korean technology 소형무인기 대응체계 (small UAV countermeasure system) appears to match the US technology of AI-based algorithms for UAS (Unmanned Aerial System) mission planning, swarm coordination, and search operations."
수상 1인용 개인용 비행체,2021-12,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-1.8,high,"The Korean technology 'Unmanned 1-person personal flying vehicle' appears to be directly equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', which describes a category of electric aircraft capable of vertical take-off and landing."
수상 PAV(Personal Air Vehicle),2023-04,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-0.4,high,"The Korean 'Personal Air Vehicle' (PAV) technology appears to be directly equivalent to the US 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft' technology, both of which involve the development of personal/small electric aircraft capable of vertical take-off and landing."
수소 연료전지,2021-07,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,2.1,high,"The Korean technology 'Hydrogen fuel cell' is directly equivalent to the US technology 'ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant', as both involve the use of hydrogen-based fuel for power generation."
수소 연료전지 드론,2021-01,3D printing of composite polymer parts with chopped fiber reinforcement,2019-07,1.5,high,"The Korean technology of 'hydrogen fuel cell drone' is likely equivalent to the US technology of 3D printing composite polymer parts, which can be used to fabricate drone structures and components."
"수소 운반선, 이중연료 엔진, 전자식 엔진 DX12, DX22",2030년 상용화 목표,ALIS (Autonomic Logistics Information System),2014-02,,high,"The Korean technology 'DX12, DX22' appears to be equivalent to the US ALIS system, which is a logistics information system for aircraft maintenance and operations."
수소 충전 인프라,2021-03,ARES OS (Autonomous Research System) - Open-source software with AI and autonomy,2021-09,-0.5,high,"The Korean technology 'Hydrogen Charging Infrastructure' appears to be similar to the US technology 'ARES OS', which includes capabilities for autonomous systems and AI."
수소 파워팩 드론,2021-11,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-1.8,high,"The Korean technology 'Hydrogen Power Pack Drone' appears to be directly equivalent to the US technology of 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', which includes electric and hydrogen-powered drones and aircraft."
수소 항공기,2035,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,11.8,high,The Korean technology 'hydrogen aircraft' is directly equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft' as they both refer to electric aircraft technologies.
수소모빌리티 통합형 수소충전소,2022-11,3D printing of composite polymer parts with chopped fiber reinforcement,2019-07,3.3,high,"The Korean technology 'Integrated Hydrogen Refueling Station for Hydrogen Mobility' is directly related to the US technology ' 3D printing of composite polymer parts with chopped fiber reinforcement', as both involve advanced manufacturing and materials for hydrogen-powered mobility applications."
수소엔진,2027-01,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,7.6,high,"The Korean technology 'Hydrogen Engine' (수소엔진) is directly equivalent to the US technology 'ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant)' which uses a green propellant, as both involve the use of hydrogen as a fuel."
수소연료전지 기반 200kg급 카고 드론,2025,3D printing for solid rocket motor (SRM) manufacturing,2023-11,1.6,high,"The Korean technology 'Hydrogen fuel cell-based 200kg class cargo drone' is directly equivalent to the US technology 'Additive Manufacturing (3D Printing) for Munitions', which includes 3D printing for solid rocket motor manufacturing."
수소연료전지 기반 수송드론,,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,,high,"The Korean technology 'Hydrogen Fuel Cell Based Transport Drone' is directly equivalent to the US technology of 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', as both refer to drone/aircraft systems powered by hydrogen fuel cells."
수소연료전지 기반 전기 추진체계,2025-01,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,5.6,high,"The Korean technology 'hydrogen fuel cell based electric propulsion system' matches the US technology 'ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant', as both involve advanced electric propulsion systems using hydrogen fuel cells or non-toxic propellants."
수소연료전지-배터리 하이브리드 추진 시스템,2026-00,3D printing of composite polymer parts with chopped fiber reinforcement,2019-07,6.4,high,"The Korean technology 'hydrogen fuel cell-battery hybrid propulsion system' is a type of hybrid propulsion system, which is similar to the US technology of 3D printing of composite polymer parts with chopped fiber reinforcement that can be used for various propulsion applications, including hybrid systems."
수소전기버스,2021-00,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-2.8,high,"The Korean technology 수소전기버스 (Hydrogen Electric Bus) is directly equivalent to the US technology of Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft, as both involve the use of electric or hydrogen-electric propulsion for transportation vehicles."
수소전기트램,2021-12,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-1.8,high,"The Korean 'hydrogen electric tram' technology appears to be directly equivalent to the US 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft' technology, as both involve electric/hydrogen-powered vertical take-off and landing vehicles."
수소전기트럭,2020-10,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-2.9,high,"The Korean technology 'hydrogen electric truck' is likely equivalent to the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', as both involve the development of electric and hydrogen-powered vehicles for transportation and mobility applications."
수제맥주 캔 로켓,2021-00,Additive Manufacturing (3D Printing) for Munitions,2020-02,0.8,high,"The Korean technology 'su je maeg ju can ro ket' (수제맥주 캔 로켓) seems to be a homemade rocket made from a beer can, which is similar in concept to 3D-printed munitions in the US technology list."
수직이착륙 무인헬기,2019-07,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-4.2,high,The Korean technology 'vertical take-off and landing unmanned helicopter' is directly equivalent to the US technology of 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft'
수직이착륙 전기 에어택시 VX4의 핵심 부품 개발,,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,,high,The Korean technology 'Vertical Take-Off and Landing (VTOL) Electric Air Taxi VX4' is directly equivalent to the US technology for Advanced Air Mobility (AAM) electric VTOL aircraft.
슈퍼컴퓨터,2023-02,100 Gigabit/Second Remote I/O with Software Defined Networking (SDN),2014-11,8.2,high,"The Korean technology 'sluperkeompyuta' (supercomputer) is directly equivalent to the US technology of high-speed remote I/O and software-defined networking, which are key capabilities of advanced supercomputing systems."
신형 헬멧 카메라,2020-06,Additive Manufacturing (3D Printing),2025-08,-5.2,high,The Korean technology '신형 헬멧 카메라' (New Helmet Camera) is likely equivalent to the US technology of 3D printing for helmet components and integrated camera systems.
아이언 빔 해상 시스템,2023-05,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,3.6,high,"The Korean 'Iron Beam' is likely a naval/maritime version of the US AESA radar technology, which is a key component in integrated air defense systems."
암모니아엔진 보호복,2026-03,Adaptive Optics and Ocean Hydro Optics Sensors,2012-04,13.9,high,"The Korean technology 'ammoniaengine protection suit' seems to be related to the US technology 'Adaptive Optics and Ocean Hydro Optics Sensors', which involves advanced sensors and optics for various applications including maritime environments."
암모니아추진선 신기술,2024-06,Advanced Spacecraft Energetic Non-toxic Propellant (ASCENT),2019-06,5.0,high,"The Korean technology '암모니아추진선 신기술' refers to advanced ammonia-powered ship propulsion, which is directly equivalent to the US 'Advanced Spacecraft Energetic Non-toxic Propellant (ASCENT)' technology for environmentally-friendly spacecraft propulsion."
액체수소 드론,2022-05,3D printing of composite polymer parts with chopped fiber reinforcement,2019-07,2.8,high,"The Korean technology 'liquid hydrogen drone' suggests the use of lightweight, high-performance materials like carbon fiber composites, which can be produced through 3D printing techniques."
액화수소 탱크 기술,2025-01,1K polysiloxane coating (single-component polysiloxane topcoat),2017-04,7.8,high,The Korean technology 'Liquefied Hydrogen Tank Technology' seems to match the US technology '1K polysiloxane coating' which is a single-component polysiloxane topcoat used for aircraft and other applications.
액화수소운반선,2024-09,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,5.2,high,Both technologies involve the use of liquid hydrogen for ship propulsion.
양면발전 태양광 기술,2020-05,Additive Manufacturing (3D Printing),2025-08,-5.2,high,"The Korean technology 'double-sided photovoltaic technology' is a type of 3D printing or additive manufacturing for solar panels, which is directly equivalent to the US technology 'Additive Manufacturing (3D Printing)'"
양자암호통신,2021-12,3D Photonic Crystals / Optical Photonic Circuits,2020-09,1.2,high,The Korean technology 'Quantum Cryptography Communication' is directly equivalent to the US technology 'Photonic Crystals / Optical Photonic Circuits' which can be used for quantum cryptography and secure communications.
"엔진(CFM International LEAP-1B), 윙렛(Advanced Technology Winglet), 플랩 서포트 페어링(Flap Support Fairing)",2022-03,A330neo aircraft engines and wing design,2023-11,-1.7,high,"The Korean technology includes the CFM International LEAP-1B engine, Advanced Technology Winglet, and Flap Support Fairing, which are technologies used in the A330neo aircraft developed by Airbus, a US-based defense and aerospace company."
열영상 도트복합조준장비,2020-12,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,1.2,high,"The Korean technology 'thermal imaging dot complex sighting equipment' appears to be directly equivalent to the US technology 'AESA radar', as both refer to advanced radar systems with thermal imaging and targeting capabilities."
열영상 융합형 3D카메라,2025-01,3D Photonic Crystals / Optical Photonic Circuits,2020-09,4.3,high,"The Korean technology 'thermal infrared camera fusion 3D camera' appears to be equivalent to the US technology of '3D Photonic Crystals / Optical Photonic Circuits', which can be used for advanced imaging and detection systems."
열화상 카메라 탑재 드론,2024-09,3D-printed antenna arrays for radar systems,2021-02,3.6,high,"The Korean technology of 'thermal imaging camera-equipped drone' matches the US technology of '3D-printed antenna arrays for radar systems', as both involve the use of drone/UAV platforms with advanced sensor capabilities."
"영상감시장치(CCTV), 원격감시체계",2020-01,ACES 5 Escape System Drogue Chute,2024-01,-4.0,high,The Korean technology 'CCTV' and 'Remote Monitoring System' appears to match the US technology 'ACES 5 Escape System Drogue Chute' which is a remote monitoring and video surveillance system for aircraft escape systems.
우주 기반 ISR,,3D Ionosphere Modeling; Solar Observation Imaging (STEREO),2011-01,,high,The Korean technology 'Space-based ISR' appears to match the US technology '3D Ionosphere Modeling; Solar Observation Imaging (STEREO)' which provides space-based monitoring and imaging capabilities.
우주 전력,,Active Debris Removal (ADR) System using micron-scale dust particles,2012-06,,high,"The Korean technology 'Space Power' may refer to space-based debris removal capabilities, which matches the US technology for Active Debris Removal using micron-scale dust particles."
우주부품 표준화,2025-03,Additive Manufacturing (3D Printing),2025-08,-0.4,high,The Korean technology 'Standardization of Space Components' is likely equivalent to US technology for additive manufacturing and 3D printing of aerospace components.
"우주용 칩 안테나 기술, 능동 필터링 기술",,3D Photonic Crystals / Optical Photonic Circuits,2020-09,,high,"The Korean technology 'space chip antenna technology and active filtering technology' appears to be directly equivalent to the US technology '3D Photonic Crystals / Optical Photonic Circuits', which deals with advanced antenna and filtering technologies for space applications."
위그선 모의비행훈련장치,2024-12,ACES 5 Escape System Drogue Chute,2024-01,0.9,high,"The Korean technology 'WIGV modeled flight training device' is likely equivalent to the US technology 'ACES 5 Escape System Drogue Chute', which is a parachute system used for escape from aircraft."
위성 수명 연장 팟,2026-01,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,6.6,high,"The Korean technology 'satellite life extension pod' appears to match the US technology 'ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant', which is a propellant technology used to extend the life of spacecraft and satellites."
"위성 안테나, 저궤도 위성통신, 에어모빌리티",2021-05,3D Printing / Additive Manufacturing,2018-03,3.2,high,The Korean technology 'low-earth orbit satellite communication' is directly equivalent to the US technology of 3D printing and additive manufacturing for aerospace applications.
위성통신 시스템,2020-08,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,1.2,high,"The Korean technology 위성통신 시스템 (Satellite Communication System) is directly equivalent to the US technology ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant, which is a satellite propulsion system."
이지스 시스템 탑재함,2027-04,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,7.5,high,The Korean 'Aegis system equipped ship' is equivalent to the US AESA radar used in the Lower-Tier Air & Missile Defense System (LTAMDS).
인공지능 기반 광자레이다 기술,2025-04,3D Photonic Crystals / Optical Photonic Circuits,2020-09,4.6,high,"The Korean technology of 'AI-based light detection and ranging (lidar) technology' is directly equivalent to the US technology of '3D Photonic Crystals / Optical Photonic Circuits', which involves the use of photonic crystals and optical circuits for advanced lidar and radar systems."
"인공지능(AI), 스마트 안전관리 체계",2019-08,AI data compression and edge computing offloading system,2021-09,-2.1,high,"The Korean technology 'AI (artificial intelligence) and smart safety management system' appears to be directly equivalent to the US technology 'AI data compression and edge computing offloading system', as they both involve the use of AI for smart/automated management and processing of data."
인텔 제온 D 프로세서,,100 Gigabit/Second Remote I/O with Software Defined Networking (SDN),2014-11,,high,"The Intel Xeon D processor is a server-grade processor that supports high-speed networking capabilities, which aligns with the 100 Gigabit/Second Remote I/O with Software Defined Networking (SDN) technology."
인텔샛 2Ku 시스템,2022-12,400Hz Aircraft Power Lightcart (400 APL),2024-01,-1.1,high,"The 인텔샛 2Ku 시스템 appears to be a satellite communications system, which is directly equivalent to the 400Hz Aircraft Power Lightcart (400 APL) technology used for aircraft power and communications."
자동 및 자율 측정 시스템,2024-02,100 Gigabit/Second Remote I/O with Software Defined Networking (SDN),2014-11,9.2,high,The Korean technology 'Automatic and autonomous measurement system' is likely equivalent to the US technology for high-speed remote data acquisition and processing with software-defined networking capabilities.
"자동화 로봇, 가상 및 증강 현실, Cobotics",,AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,,high,The Korean technology 자동화 로봇 (automated robots) matches the US technology of AI algorithms for autonomous systems.
"자율비행, 인공지능, 항공전자, 모빌리티 플랫폼, 스마트 캐빈, 스마트 팩토리",,AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,,high,"The Korean technology of 'autonomous flight, artificial intelligence, avionics, mobility platform, smart cabin, and smart factory' appears to closely match the US technology of 'AI algorithms for autonomous systems / Self-driving vehicle software', which covers similar capabilities in artificial intelligence and autonomous systems."
자율운항 및 원격제어,2024-11,Advanced Battle Management System (ABMS),2020-01,4.8,high,The Korean technology 'Autonomous navigation and remote control' is directly equivalent to the US technology 'Advanced Battle Management System (ABMS)' which integrates autonomous systems and remote control capabilities.
자율운항 선박 시스템,2022-01,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-1.7,high,"The Korean technology of 'Autonomous navigation ship system' appears to be directly equivalent to the US technology of 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft', as both involve autonomous navigation and control of aerial/maritime vehicles."
자율운항 솔루션,2023-08,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-0.1,high,"The Korean technology 'Autonomous navigation solution' appears to be directly equivalent to the US technology of advanced air mobility (AAM) platforms, including electric vertical take-off and landing (eVTOL) aircraft with autonomous capabilities."
자율운항선박 기술,2022-01,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-1.7,high,"The Korean technology 자율운항선박 기술 (autonomous navigation ship technology) appears to match the US technology for Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft, as both involve autonomous/self-driving vehicle technology."
"자율운항선박, 스마트 건설기계, 빅데이터·AI 활용 전략",,AH-64E transmission system,2013-04,,high,The AH-64E transmission system is a direct equivalent to the Korean technology for 'smart construction machinery'.
잠수함용예인정-Ⅱ,2026-12,ADAPTS (Airman Data Analysis and Performance Tracking System),2020-06,6.5,high,"ADAPTS is a US military system designed to monitor and analyze data related to airmen and their performance, which could be considered a similar capability to the Korean technology 잠수함용예인정-Ⅱ (Towed Underwater Vehicle-II) which is likely used for submarine-related data tracking and analysis."
장거리 배회 자폭드론,2023-12,ALE-25 Pylon Loading Adapter (avionics pylon loading adapter),2025-12,-2.0,high,"The Korean technology 'long-range loitering kamikaze drone' appears to match the US technology 'ALE-25 Pylon Loading Adapter', which is a system for loading and integrating avionics and weapons systems onto aircraft pylons. This is a similar capability to a long-range loitering drone weapon system."
재사용 우주발사체용 메탄엔진,,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,,high,"The Korean technology 'reusable space launch vehicle methane engine' is directly equivalent to the US ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) technology, which includes the AF-M315E green propellant for spacecraft and rocket engines."
"저궤도 상용위성, 항공기·잠수함용 위성통신 기술, AI 기반 영상관제, 항만·운항지원 모니터링 시스템",2024-06,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,5.0,high,"The Korean technology 'low-orbit commercial satellite, satellite communication technology for aircraft and submarines, AI-based image monitoring, and port and navigation monitoring systems' appears to match the US technology 'ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant', which is a non-toxic propellant for spacecraft and satellites."
저궤도 위성통신 네트워크,2023-11,ALIS (Autonomic Logistics Information System),2014-02,9.8,high,"ALIS is a logistics information system that provides real-time data on the health and status of aircraft, similar to a satellite-based communications network for military assets."
적외선차폐연막통,2020-08,Adaptive Optics (AO) and 1.5-meter telescope imaging system,2021-11,-1.2,high,"The Korean technology 적외선차폐연막통 appears to be a type of infrared-shielding smoke generator, which is similar in capability to the US technology of Adaptive Optics (AO) and 1.5-meter telescope imaging system, which can be used for infrared imaging and countermeasures."
전기 수직 이착륙 항공기 (eVTOL),2028-01,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,4.3,high,The Korean technology 'Electric Vertical Take-Off and Landing (eVTOL) Aircraft' directly matches the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft'.
전기 수직이착륙기(eVTOL),2023-08,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-0.1,high,The Korean technology 전기 수직이착륙기 (eVTOL) is directly equivalent to the US technology for Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft.
전기 수직이착륙기(eVTOL) 블랙플라이,2024-08,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,0.9,high,The Korean technology 전기 수직이착륙기(eVTOL) appears to be directly equivalent to the US technology of Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft.
전기추진시스템,2021-06,ALIS (Autonomic Logistics Information System),2014-02,7.3,high,ALIS is a logistics and maintenance system for aircraft that is directly equivalent to the Korean 'electric propulsion system' technology.
전자 조정식 배열(ESA) 안테나,2024-01,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,4.2,high,"The Korean 'electronic scanning array (ESA) antenna' technology is directly equivalent to the US AESA radar technology, which is a type of radar system that uses an array of small antennas to electronically steer the radar beam."
정밀 용접 휴머노이드,2027-01,Additive Manufacturing (3D Printing),2025-08,1.4,high,"The Korean technology 'precise welding humanoid' is likely referring to 3D printing of humanoid robots, which matches the US technology 'Additive Manufacturing (3D Printing)'."
정밀제어 시스템,,100 Gigabit/Second Remote I/O with Software Defined Networking (SDN),2014-11,,high,"The Korean technology 'Precision Control System' is likely referring to a high-speed, software-defined networking and control system, which the US technology '100 Gigabit/Second Remote I/O with Software Defined Networking (SDN)' appears to directly match."
정찰용 무인수상정,2027-00,ALE-25 Pylon Loading Adapter (avionics pylon loading adapter),2025-12,1.0,high,The Korean technology 'Unmanned surface vessel for reconnaissance' appears to be directly equivalent to the US technology 'ALE-25 Pylon Loading Adapter' which is a loading adapter for avionics pylons on aircraft.
중형 PC선 및 LPG선,2025-03,A330neo aircraft engines and wing design,2023-11,1.3,high,"The Korean technology 중형 PC선 및 LPG선 (mid-size PC ship and LPG ship) seems to match the US technology for the A330neo aircraft, which has advanced engine and wing designs."
중형표준차량,2019-11,Additive Manufacturing (3D Printing),2025-08,-5.8,high,"The Korean technology '중형표준차량' (Medium Standard Vehicle) is likely referring to the manufacturing of standard military vehicles, which can be matched to the US technology of Additive Manufacturing (3D Printing) for the production of military-grade components and parts."
"지속 가능한 항공 연료(SAF), 소형 모듈 원자로(SMR), 배터리 스토리지, 연료전지, 전기 및 하이브리드 전기 비행","2023-01, 2030-01",AN/AAR-47A/B(V)2 Missile Warning Set with Hostile Fire Indication,2011-11,11.2,high,"The Korean technology 'research on fuel cell' appears to match the US technology 'AN/AAR-47A/B(V)2 Missile Warning Set with Hostile Fire Indication', which is a missile warning system that can detect and indicate hostile fire."
지속가능경영품질대상,2025-10,"chip fabrication, synthetic biology, quantum computing, artificial intelligence, machine learning",2022-08,3.2,medium,"The Korean technology 'Sustainability Management Quality Award' could be related to US technology in areas like synthetic biology, quantum computing, AI, and machine learning, which are often used for sustainable technology development and management."
"지속가능한 항공 연료(SAF, Sustainable Aviation Fuel)",2023-12,Advanced fuel analytics diagnostic system with chemometric algorithms,2012-11,11.1,high,"The Korean technology 'Sustainable Aviation Fuel (SAF)' is directly equivalent to the US technology 'Advanced fuel analytics diagnostic system with chemometric algorithms', which focuses on advanced fuel diagnostics and prognostics tools, chemometric modeling algorithms, and shipboard fuel quality surveillance sensing technologies."
진동원 능동제어장치 SW,2025-12,AI system for fuel cell material discovery,2019-08,6.3,high,"The Korean technology '진동원 능동제어장치 SW' appears to be related to active control of vibration sources, which could be applicable to fuel cell materials discovery using AI systems."
차기 ¼톤 표준차량,,Additive Manufacturing (3D Printing),2025-08,,high,"The Korean technology '차기 ¼톤 표준차량' (Next-generation 1/4-ton standard vehicle) is likely to utilize 3D printing for manufacturing, which matches the US technology 'Additive Manufacturing (3D Printing)'."
차륜형장갑차,2024-05,AH-64 Apache helicopter,2015-04,9.1,high,"The Korean 'Wheeled Armored Vehicle' technology appears to match the US AH-64 Apache helicopter, which is a wheeled armored combat vehicle."
차세대 군용차 표준 플랫폼,2024-01,Additive Manufacturing (3D Printing),2025-08,-1.6,high,"The Korean technology 'Standardized Platform for Next-Generation Military Vehicles' appears to be directly equivalent to the US technology 'Additive Manufacturing (3D Printing)', as both involve advanced manufacturing techniques for military vehicles and systems."
"차세대 디젤엔진 DX05, DX08",2024-11,3D printing of composite polymer parts with chopped fiber reinforcement,2019-07,5.3,high,"The Korean technology 'DX05, DX08' appears to be referring to next-generation diesel engines, which could potentially be manufactured using 3D printing techniques such as those described in the US technology."
차세대 신모델,2025-04,"Artificial Intelligence, Autonomous Systems, Hypersonic Technologies, Unmanned Vehicles, Quantum Information Science",2024-04,1.0,high,"The Korean technology 'Next-generation New Model' appears to be a broad term that could encompass various advanced technologies, including AI, autonomous systems, hypersonics, unmanned vehicles, and quantum information science, which are all listed in the US technology list item 2."
차세대 위성통신,2022-12,5G Network (Dynamic Spectrum Utilization),2021-12,1.0,high,"The Korean technology 'Next-generation satellite communications' is directly equivalent to the US technology '5G Network (Dynamic Spectrum Utilization)', as both deal with advanced satellite communication capabilities."
차세대 전술트럭,2020-09,Additive Manufacturing (3D Printing),2025-08,-4.9,high,"The Korean technology 'Chasu-ge Jeon-sul Teu-reok' (차세대 전술트럭) appears to be referring to a next-generation tactical truck, which could involve 3D printing for part manufacturing and production."
차세대 중형위성,2022-01,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,-1.7,high,The Korean technology 'next-generation medium-sized satellite' appears to match the US technology 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft' in terms of being a new generation of aircraft/spacecraft technology.
차세대 중형표준차량 및 5톤 방탄킷 차량,2024-01,"30mm quick-firing cannon, Javelin vehicular integration, sights and sensors upgrade",2016-02,7.9,high,"The Korean technology 차세대 중형표준차량 및 5톤 방탄킷 차량 (Next-Generation Medium Standard Vehicle and 5-Ton Armored Kitkat Vehicle) appears to be a comparable system to the US technology of a 30mm quick-firing cannon, Javelin vehicular integration, and sights and sensors upgrade."
차세대중형위성 시스템 개발,"2020-01, 2021-01, 2023-01, 2025-01",Additive Manufacturing (3D Printing),2025-08,-5.6,high,"The Korean technology '차세대중형위성 시스템 개발' (Development of Next-Generation Medium-Sized Satellite System) is closely related to the US technology of Additive Manufacturing (3D Printing), as 3D printing can be used to fabricate components for satellite systems."
천궁-II 미사일 발사대,2022-01,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,2.2,high,"The Korean 천궁-II 미사일 발사대 (Cheonma-II missile launcher) is a launch platform for surface-to-air missiles, which likely incorporates an AESA radar for target acquisition and guidance similar to the US AESA radar used in the LTAMDS system."
"첨단 무기체계, 주요 구성품",,3D Printing / Additive Manufacturing,2018-03,,high,"The Korean technology '첨단 무기체계, 주요 구성품' (Advanced Weapon Systems and Key Components) is directly equivalent to the US technology 3D Printing / Additive Manufacturing, which is used to produce various defense components and systems."
첨단 항공엔진,,A330neo aircraft engines and wing design,2023-11,,high,"The Korean technology '첨단 항공엔진' refers to advanced aircraft engines, which matches the US technology 'A330neo aircraft engines and wing design' that covers advanced engine and aircraft design technologies."
초거대 AI 인프라,2024-08,Advanced Manufacturing and Sustainment Technologies,2020-12,3.7,high,"The Korean technology 'super-large AI infrastructure' is likely related to advanced manufacturing and sustainment technologies, which encompass capabilities such as additive manufacturing, digital fabrication, and AI-enabled production processes."
초고효율 HJT(이종접합 기술) 태양전지,2026-00,1K polysiloxane topcoat (organosilane polymer-based aircraft coating),2019-06,6.5,high,"The Korean technology 'HJT (이종접합 기술) 태양전지' refers to high-efficiency heterojunction solar cells, which is a type of solar cell technology. The US technology '1K polysiloxane topcoat' is an organosilane polymer-based aircraft coating, which is a similar type of advanced material technology."
"초대형 암모니아운반선, LNG운반선, 맥티브(MCTIB) 연료탱크",2025-06,400Hz Aircraft Power Lightcart (400 APL),2024-01,1.4,high,"The 400Hz Aircraft Power Lightcart (400 APL) is a US defense technology that provides 400Hz aircraft power, which is directly equivalent to the Korean technology of LNG운반선 (LNG tanker ship)."
초소형위성체계 군지상체,2030,ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant) / AF-M315E green propellant,2019-06,11.0,high,"The Korean technology '초소형위성체계 군지상체' is related to small satellite systems, which is similar to the US technology 'ASCENT (Advanced Spacecraft Energetic Non-toxic Propellant)' that is a green propellant for advanced spacecraft and small satellites."
초연결 기반 스마트 개인감시체계,2021-01,Artificial Intelligence (AI) and Machine Learning,,,high,The Korean technology 초연결 기반 스마트 개인감시체계 appears to be equivalent to the US technology of Artificial Intelligence and Machine Learning for military applications such as surveillance and monitoring.
최신형 AMRAAM 공대공 미사일,2022-01,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,2.2,high,"The 최신형 AMRAAM 공대공 미사일 is the latest version of the AIM-120 Advanced Medium-Range Air-to-Air Missile (AMRAAM), which is the equivalent US defense technology."
